ASIN,Condition 1,Condition 1 Price,Condition 2,Condition 2 Price,Condition 3,Condition 3 Price,Condition 4,Condition 4 Price,Condition 5,Condition 5 Price
0136094945,VG,12.00,LN,15.00,,,,,,
013232749X,VG,8.00,LN,12.00,N,20.00,,,,
0136094945,VG,12.00,LN,15.00,,,,,,
1439080674,N,40.00,,,,,,,,
1111533164,N,40.00,,,,,,,,
978-0324786521,N,45.00,,,,,,,,
978-0716771081,VG,20.00,LN,25.00,,,,,,
1111825874,N,40.00,VG,20.00,LN,30.00,,,,
978-0136085362,N,45.00,,,,,,,,
978-0321750891,VG,35.00,LN,40.00,,,,,,
978-0470223550,N,25.00,,,,,,,,
1429216387,N,20.00,,,,,,,,
978-0132102926,N,40.00,,,,,,,,
978-0132664844,N,20.00,,,,,,,,
978-0130606204,N,25.00,,,,,,,,
0321872185,VG,30.00,,,,,,,,
978-0131394254,N,20.00,,,,,,,,
978-0495095644,N,35.00,VG,20.00,,,,,,
978-0136114468,VG,20.00,LN,35.00,,,,,,
1439044619,VG,15.00,LN,20.00,N,30.00,,,,
978-0495108368,VG,15.00,LN,20.00,N,35.00,,,,
1111832560,N,280.00,,,,,,,,
